Metric,Prompt ID,Condition,Mean,Median,Std Dev,IQR,Min,Max
rouge_2,CEP3,Base,0.1323154946505104,0.13170473973572322,0.01515189171600985,0.024124280793483596,0.11173974540311175,0.1574344023323615
rouge_2,CEP4,Novel,0.14981411379339657,0.15096978855032214,0.015898289687313688,0.028597929316209192,0.12781954887218047,0.1701818181818182
rouge_2,CEP4,Base,0.16214431987213523,0.15612287220003424,0.016546777617619808,0.02336536853722443,0.13711583924349882,0.18523878437047758
rouge_2,CEP5,Novel,0.13630362264942128,0.13599152796997127,0.01679450295563843,0.01868005895320614,0.11782708492731446,0.16424418604651164
rouge_2,CEP5,Base,0.12628839125748187,0.12843605866323315,0.01800686575496345,0.014612347843226556,0.08761329305135951,0.15584415584415584
rouge_2,CEP6,Novel,0.0879175981133557,0.08719935052332621,0.006127939968261033,0.008843417728790978,0.08040935672514621,0.10050983248361252
rouge_2,CEP6,Base,0.09150651689240316,0.08894518723540398,0.01237134971212603,0.018735850956354355,0.07602792862684252,0.11201179071481208
rouge_2,CEP7,Novel,0.1297516369610145,0.12940483470812378,0.012644908573834046,0.01274252752821034,0.10373760488176964,0.15135929463629685
rouge_2,CEP7,Base,0.10886807295999253,0.1092151584178919,0.012630497350558871,0.021009396160954236,0.0946843853820598,0.13185067513899917
rouge_2,CEP8,Novel,0.10601835174325566,0.10931485758275597,0.010735548085832297,0.013284020270448185,0.08702290076335877,0.1167192429022082
rouge_2,CEP8,Base,0.11767155368933421,0.11424243889076877,0.012353452797271115,0.008141507523895752,0.10562770562770563,0.1490312965722802
rouge_2,CEP9,Novel,0.14346979299876428,0.14694421577994432,0.012989037201396991,0.007712530925468392,0.11059190031152646,0.15657311669128507
rouge_2,CEP9,Base,0.14125676848068827,0.14267960705408922,0.009663143574954961,0.0097261526423085,0.11887550200803212,0.15291445874337622
rouge_2,CEP10,Novel,0.1584911135007674,0.1579064905987983,0.009046551707524777,0.011499375248374355,0.1430745814307458,0.1716417910447761
rouge_2,CEP10,Base,0.14574531137315178,0.1477801136880618,0.009706189907786218,0.012567397765374272,0.12740989103101422,0.16
rouge_2,CT1,Novel,0.09468928336432055,0.09725975106705759,0.011410066576964167,0.008702877093345052,0.072,0.1152073732718894
rouge_2,CT1,Base,0.09139059966059007,0.08642342624491074,0.01291460839123527,0.016130133583203157,0.07705192629815746,0.11538461538461538
rouge_2,CT2,Novel,0.1439840224678638,0.14452558063746015,0.011583123408592404,0.005671599359416607,0.12200435729847495,0.15988973121984837
rouge_2,CT2,Base,0.1257192801407538,0.12925206155201696,0.011117299201568195,0.009637875512310226,0.1,0.13797722705961152
rouge_2,CT3,Novel,0.1796531816629296,0.17813876392307765,0.019669731899082988,0.03129789752213674,0.15420200462606012,0.2094081942336874
rouge_2,CT3,Base,0.16126333499327164,0.16494515894371817,0.0161174754751354,0.02070695958832086,0.13601236476043277,0.1884498480243161
rouge_2,CT4,Novel,0.13637023783679053,0.14115657051744349,0.013470230467262156,0.024059721682327617,0.11731448763250882,0.1547945205479452
rouge_2,CT4,Base,0.1140243673541961,0.11491646467015926,0.01548402367570008,0.02450025471848373,0.09097801364670205,0.13530326594090203
rouge_2,CT5,Novel,0.14999906053075207,0.1521896748038049,0.013664981339068578,0.012542766142906836,0.1270521056388294,0.17966573816155987
rouge_2,CT5,Base,0.1360561012494301,0.1401064432572446,0.012370105671934053,0.016173211180711883,0.11712379540400297,0.1527377521613833
rouge_2,CT6,Novel,0.1407580317907738,0.14013103666258314,0.021073806100093313,0.03063604283001839,0.11177347242921014,0.17340191036002942
rouge_2,CT6,Base,0.1275573721064515,0.1262859992519636,0.00965462068965027,0.010606596349400338,0.11535199321458865,0.14411529223378702
rouge_2,CT7,Novel,0.11356703394797622,0.11287559779719007,0.007405211246549195,0.009719689791357913,0.10344827586206896,0.12431444241316272
rouge_2,CT7,Base,0.10945560255792394,0.10863518047523468,0.014422727096940811,0.019048034681721157,0.08768536428110897,0.1358863495985176
rouge_2,CT8,Novel,0.14000763016455647,0.1379846676957932,0.01215008157530485,0.018358972855203715,0.12268188302425106,0.16102841677943167
rouge_2,CT8,Base,0.12763415474786993,0.12623751816413584,0.010642265644511296,0.011360221355493735,0.11061946902654868,0.1453529000698812
rouge_2,CT9,Novel,0.14447196388367,0.14689465113046407,0.01010725438688494,0.014808359981208497,0.12709030100334448,0.15737704918032788
rouge_2,CT9,Base,0.13004638377703445,0.12715653955345724,0.018529165171968922,0.01956147253142279,0.10740740740740742,0.17142857142857146
rouge_2,CT10,Novel,0.16923577732781003,0.1745021261516655,0.02491295945273567,0.02032880782350982,0.12363067292644755,0.20149253731343286
rouge_2,CT10,Base,0.13706726770396055,0.13924725747584088,0.020165890834552492,0.027567516252547344,0.10510046367851623,0.1658291457286432
rouge_2,EXP1,Novel,0.11020893398709745,0.1117505072294973,0.01054029328395813,0.010459124289114066,0.09393680614859096,0.1248986212489862
rouge_2,EXP1,Base,0.11946170728637287,0.11642270089433987,0.009526116549301097,0.014246251314855213,0.10710987996306556,0.13649851632047477
rouge_2,EXP2,Novel,0.09793818999291282,0.09935094698362937,0.010719106505746033,0.01459012309166717,0.08024224072672219,0.11102994886778669
rouge_2,EXP2,Base,0.1185460418192753,0.12011272523809105,0.006520818114595277,0.009629935991035912,0.10899182561307902,0.1277310924369748
rouge_2,EXP3,Novel,0.09994774744959072,0.09986603336986968,0.010025090032711544,0.011871941127663418,0.07903780068728522,0.11146496815286623
rouge_2,EXP3,Base,0.11267432799813382,0.10656882225808191,0.013855387877237368,0.019164633962905353,0.09610154125113328,0.13743218806509946
rouge_2,EXP4,Novel,0.1250127185351832,0.12684108527131782,0.013620553280866138,0.01658793343795051,0.10584518167456555,0.14891913530824658
rouge_2,EXP4,Base,0.1536086831221905,0.15165138788083318,0.024179574873658093,0.019945527874074248,0.1113013698630137,0.20391517128874387
rouge_2,EXP5,Novel,0.1202514843396981,0.11916320844507722,0.012144447134603102,0.007282427794702576,0.097799511002445,0.14565387627251372
rouge_2,EXP5,Base,0.11363235397603451,0.11309325214780215,0.014505157419034815,0.01959933148148814,0.09151414309484193,0.13290113452188007
rouge_2,EXP6,Novel,0.1217647464175097,0.11944983551499636,0.015794514624065076,0.017354691189416113,0.0963265306122449,0.14736842105263157
rouge_2,EXP6,Base,0.13842974905883626,0.13657848032589404,0.013127960938350667,0.009617366570612351,0.12158590308370043,0.16623376623376623
rouge_2,EXP7,Novel,0.195567428190993,0.1993320874646711,0.014341108625131181,0.013543706283561663,0.16557377049180327,0.2138047138047138
rouge_2,EXP7,Base,0.19922247286945838,0.19271443560002516,0.014418494606461982,0.021040809083422873,0.1797153024911032,0.22399999999999998
