Prompt ID,Metric,p-value,Test Used,Corrected p-value,Significant
CEP1,rouge_1,0.05425485043709962,t-test,0.16276455131129888,False
CEP2,rouge_1,0.3122446522760022,t-test,0.4460637889657174,False
CEP3,rouge_1,0.7360540877039728,t-test,0.7999884596526743,False
CEP4,rouge_1,0.28197498169773194,t-test,0.4229624725465979,False
CEP5,rouge_1,0.5048537282994814,t-test,0.6058244739593777,False
CEP6,rouge_1,0.9195603029041128,t-test,0.9351460707499453,False
CEP7,rouge_1,0.130859375,Wilcoxon,0.26648433878129923,False
CEP8,rouge_1,0.04208559100614072,t-test,0.14853738002167313,False
CEP9,rouge_1,0.9819739793224949,t-test,0.9819739793224949,False
CEP10,rouge_1,0.13094168013431481,t-test,0.26648433878129923,False
CT1,rouge_1,0.5231415125249529,t-test,0.6154606029705328,False
CT2,rouge_1,0.2608268770069096,t-test,0.4118319110635415,False
CT3,rouge_1,0.8793436015441729,t-test,0.9096657947008685,False
CT4,rouge_1,0.30295731266501835,t-test,0.4433521648756366,False
CT5,rouge_1,0.01376786281945548,t-test,0.05846642096633542,False
CT6,rouge_1,0.275390625,Wilcoxon,0.4229624725465979,False
CT7,rouge_1,0.06778439650751762,t-test,0.1936697043071932,False
CT8,rouge_1,0.21561352263071115,t-test,0.349643550211964,False
CT9,rouge_1,0.47685403756329536,t-test,0.5960675469541191,False
CT10,rouge_1,0.14585443093107417,t-test,0.27969321277022513,False
EXP1,rouge_1,0.005859375,Wilcoxon,0.0439453125,True
EXP2,rouge_1,0.083984375,Wilcoxon,0.22904829545454547,False
EXP3,rouge_1,0.005859375,Wilcoxon,0.0439453125,True
EXP4,rouge_1,0.0003355100803577618,t-test,0.017810820130469338,True
EXP5,rouge_1,0.5799912404184123,t-test,0.669220662021245,False
EXP6,rouge_1,0.004884390684074156,t-test,0.0439453125,True
EXP7,rouge_1,0.014616605241583855,t-test,0.05846642096633542,False
EXP8,rouge_1,0.002489667444642405,t-test,0.03734501166963607,True
EXP9,rouge_1,0.0008462235409499851,t-test,0.017810820130469338,True
EXP10,rouge_1,0.05197120034516725,t-test,0.16276455131129888,False
POP1,rouge_1,0.4876377308221892,t-test,0.5971074254965583,False
POP2,rouge_1,0.17407655261084704,t-test,0.3041201534190308,False
POP3,rouge_1,0.11376269026053787,t-test,0.26648433878129923,False
POP4,rouge_1,0.3816489078901091,t-test,0.5219618446989469,False
POP5,rouge_1,0.42839585184126117,t-test,0.5711944691216816,False
POP6,rouge_1,0.013671875,Wilcoxon,0.05846642096633542,False
POP7,rouge_1,0.6953125,Wilcoxon,0.7871462264150944,False
POP8,rouge_1,0.012304805379141758,t-test,0.05846642096633542,False
POP9,rouge_1,0.177403422827768,t-test,0.3041201534190308,False
POP10,rouge_1,0.4752084963991362,t-test,0.5960675469541191,False
PSP1,rouge_1,0.8354453949644451,t-test,0.8794162052257317,False
PSP2,rouge_1,0.09264285300383758,t-test,0.24167700783609802,False
PSP3,rouge_1,0.008954202008631744,t-test,0.05846642096633542,False
PSP4,rouge_1,0.04736515058470642,t-test,0.15788383528235472,False
PSP5,rouge_1,0.11802740820669869,t-test,0.26648433878129923,False
PSP6,rouge_1,0.13324216939064962,t-test,0.26648433878129923,False
PSP7,rouge_1,0.7466558956758294,t-test,0.7999884596526743,False
PSP8,rouge_1,0.12588590444248765,t-test,0.26648433878129923,False
PSP9,rouge_1,0.14943155278870174,t-test,0.27969321277022513,False
